Season,Episode,Title,Airdate,Rating,Total Votes,Episode Description,episode_category,is_holiday
3,19,Terry Kitties,2016-04-28 00:00:00,7.7,2163,"Terry enlists Jake's help in solving a twenty year old case which his old precinct never let him forget, Charles allows Adrian Pimento to stay at his place and soon regrets it, while Amy, Rosa and Holt attend a class together.",Great,Non-Holiday
3,20,Paranoia,2016-05-05 00:00:00,8.2,2216,"The precinct tries to set up perfect bachelor and bachelorette parties for Adrian and Rosa after they announce their engagement, but Adrian's party falls apart when he tells everyone that someone is stalking him and steals the party bus.",Great,Non-Holiday
3,21,Maximum Security,2016-05-12 00:00:00,8.1,2209,"With Adrian off the grid and in hiding, the rest of the squad scramble to track down the sister of Figgis, the mobster behind the operation, and throw a fake funeral to flush out Figgis' hit man.",Great,Non-Holiday
3,22,Bureau,2016-05-19 00:00:00,8.7,2376,"While Amy continues to work on Figgis' sister Maura on the inside, Jake, Rosa and Holt team up with Bob Annderson to track down the FBI mole. Meanwhile, Gina helps Terry work out the culprit behind a press leak.",Masterpiece,Non-Holiday
3,23,Greg and Larry,2016-05-26 00:00:00,9.0,2746,"After a surprising turn of events in the Nine-Nine's attempt to track down Adrian Pimento's hitman, the precinct drops everything when they suspect Holt is in danger.",Masterpiece,Non-Holiday
4,1,"Coral Palms, Part 1",2016-09-20 00:00:00,8.2,2502,"Jake and Holt adjust to their new lives in Florida under the Witness Protection Program while Jimmy ""The Butcher"" Figgis remains on the loose.",Great,Non-Holiday
4,2,"Coral Palms, Part 2",2016-09-27 00:00:00,8.2,2365,"Jake and Holt plan their attack on Jimmy ""The Butcher"" Figgis, only to end up on the other side of the interrogation table.",Great,Non-Holiday
4,3,"Coral Palms, Part 3",2016-10-04 00:00:00,8.4,2365,"The team goes to Florida to help Jake and Holt take down Jimmy Figgis, but their plan falls through due to an unexpected injury and another interruption from Sheriff Reynolds.",Masterpiece,Non-Holiday
4,4,The Night Shift,2016-10-11 00:00:00,7.6,2283,"Jake, on his first case back at the precinct, commandeers the vehicle of Jess Day, (from New Girl) who's visiting New York. In the meantime, Holt tries to increase office morale and Amy wants to know why Rosa is taking such long breaks.",Great,Non-Holiday
4,5,Halloween IV,2016-10-18 00:00:00,8.8,2673,The squad competes in the annual Halloween heist to win the title of Ultimate Detective Slash Genius.,Masterpiece,Holiday
4,6,Monster in the Closet,2016-11-15 00:00:00,7.9,2178,The Nine-Nine throws a wedding for Pimento and Rosa.,Great,Non-Holiday
4,7,Mr. Santiago,2016-11-22 00:00:00,8.2,2304,"Amy's father, a former cop, comes to Thanksgiving dinner and Jake tries to impress him, leaving Charles on turkey duty. In the meantime, Holt helps Pimento come to terms with the fact that he can no longer be a police officer.",Great,Holiday
4,8,Skyfire Cycle,2016-11-29 00:00:00,7.8,2180,"Terry meets his lifelong hero, a famous author who's received death threats. In other events, Gina tries to choose the location of the Boyle family vacation and Amy sides with Kevin in his argument with Holt over a math puzzle.",Great,Non-Holiday
4,9,The Overmining,2016-12-06 00:00:00,8.0,2145,Jake and Holt help Captain CJ with a big case.,Great,Non-Holiday
4,10,Captain Latvia,2016-12-13 00:00:00,7.6,2163,Jake and Charles face off against a Latvian criminal ring when Jake helps Charles find his son's favorite toy for Christmas.,Great,Holiday
4,11,"The Fugitive, Part 1",2017-01-01 00:00:00,8.5,2299,"The squad goes on a manhunt for a group of convicts who've escaped from a prison van on the streets of Brooklyn. When one fugitive is still loose, Jake gains a surprising ally.",Masterpiece,Non-Holiday
4,12,"The Fugitive, Part 2",2017-01-01 00:00:00,8.5,2042,"The squad goes on a manhunt for a group of convicts who've escaped from a prison van on the streets of Brooklyn. When one fugitive is still loose, Jake gains a surprising ally.",Masterpiece,Non-Holiday
4,13,The Audit,2017-04-11 00:00:00,7.7,2079,The squad tries to save their precinct from getting shut down when it's being audited by Amy's ex-boyfriend Teddy.,Great,Non-Holiday
4,14,Serve & Protect,2017-04-18 00:00:00,7.9,2074,Jake and Rosa investigate a case of burglary that occurred on the set of one of their favorite detective shows as Terry's ex takes over auditing the Nine-Nine.,Great,Non-Holiday
4,15,The Last Ride,2017-04-25 00:00:00,8.3,2162,Jake and Charles search for a bike thief on what may be their last case together.,Great,Non-Holiday
4,16,Moo Moo,2017-05-02 00:00:00,8.9,4165,Terry and Holt have different ideas for dealing with a fellow police officer who creates trouble for Terry in his own neighborhood.,Masterpiece,Non-Holiday
4,17,Cop-Con,2017-05-09 00:00:00,8.3,2113,Holt tells the squad to be on their best behavior at Cop-Con.,Great,Non-Holiday
4,18,Chasing Amy,2017-05-09 00:00:00,8.0,2061,Amy disappears just before the Sergeant exam.,Great,Non-Holiday
4,19,Your Honor,2017-05-16 00:00:00,8.0,2006,Captain Holt's mother comes to the precinct for help when her house is robbed.,Great,Non-Holiday
4,20,The Slaughterhouse,2017-05-16 00:00:00,8.0,2008,Jake and Rosa attempt to earn their idol's respect.,Great,Non-Holiday
4,21,The Bank Job,2017-05-23 00:00:00,8.5,2125,Jake and Rosa learn there's more to Lieutenant Hawkins' team than meets the eye as they continue searching for bank robbers.,Masterpiece,Non-Holiday
4,22,Crime & Punishment,2017-05-23 00:00:00,8.6,2267,Jake and Rosa are framed for a crime they didn't commit.,Masterpiece,Non-Holiday
5,1,The Big House Pt. 1,2017-03-08 00:00:00,8.5,2498,Jake and Rosa each adjust differently to life in prison.,Masterpiece,Non-Holiday
5,2,The Big House Pt. 2,2017-10-03 00:00:00,8.4,2318,"Jake is torn between the warden and Romero, while a local mobster claims he can prove that Hawkins is guilty.",Masterpiece,Non-Holiday
5,3,Kicks,2017-10-10 00:00:00,8.0,2130,Jake must pass an official evaluation performed by Holt in order to solve a real case.,Great,Non-Holiday
5,4,HalloVeen,2017-10-17 00:00:00,9.5,4666,"The Nine-Nine has their fifth annual Halloween heist, and everyone has until midnight to claim the title of ""Amazing Human/Genius"".",Masterpiece,Holiday
5,5,Bad Beat,2017-11-07 00:00:00,8.0,2096,"Jake, Terry and Holt go undercover at an illegal gambling club to track down an arms dealer.",Great,Non-Holiday
5,6,The Venue,2017-11-14 00:00:00,7.8,2088,The Vulture returns and threatens to take away something important from Jake and Amy.,Great,Non-Holiday
5,7,Two Turkeys,2017-11-21 00:00:00,8.1,2137,Jake and Amy bring their parents together for Thanksgiving.,Great,Holiday
5,8,Return to Skyfire,2017-11-28 00:00:00,7.5,2064,"When DC Parlov returns to the precinct to report his latest manuscript being stolen, Terry, Jake and Rosa go undercover at a fantasy convention to catch the culprit.",Great,Non-Holiday
5,9,99,2017-12-05 00:00:00,8.8,2642,"Holt learns he's in the running to become Chief Commissioner of the NYPD when the squad is in LA for a funeral, but when they miss their flight back to New York, Jake tries to get Holt back in time for the interview.",Masterpiece,Non-Holiday
5,10,Game Night,2017-12-12 00:00:00,8.6,2665,Jake helps Rosa break big news to her parents.,Masterpiece,Non-Holiday
5,11,The Favor,2017-12-12 00:00:00,8.0,2049,"Holt owes Seamus Murphy a favor, so the precinct searches for a loophole that will allow the captain to keep his end of the bargain without breaking the law.",Great,Non-Holiday
5,12,Safe House,2018-03-18 00:00:00,8.7,2383,"After Seamus threatens Kevin, Holt devises an elaborate plan to hide him in a safe house, with Jake as his guard. Kevin is miserable as the 99 works overtime to find Seamus and take him down.",Masterpiece,Non-Holiday
5,13,The Negotiation,2018-03-25 00:00:00,8.3,2241,Jake runs into a familiar face when he's called in to negotiate a hostage situation with a jewel thief.,Great,Non-Holiday
5,14,The Box,2018-04-01 00:00:00,9.6,6262,Jake and Holt spend all night trying to get a confession out of a suspect.,Masterpiece,Non-Holiday
5,15,The Puzzle Master,2018-04-08 00:00:00,7.7,2031,Jake and Amy investigate a series of arsons connected to Amy's favorite crossword puzzle author.,Great,Non-Holiday
5,16,NutriBoom,2018-04-15 00:00:00,7.8,2027,Jake and Charles get suckered into a pyramid scheme.,Great,Non-Holiday
5,17,DFW,2018-04-15 00:00:00,7.8,2161,Jake meets his half-sister and she invites herself to stay.,Great,Non-Holiday
5,18,Gray Star Mutual,2018-04-22 00:00:00,8.0,1992,Pimento shows up as the insurance agent when a fire destroys Charles' food truck.,Great,Non-Holiday
5,19,Bachelor/ette Party,2018-04-29 00:00:00,8.5,2098,Charles plans a scavenger hunt for Jake's bachelor party; Amy's bachelorette party escalates when it's discovered she once slept with a member of her soon-to-be wedding band.,Masterpiece,Non-Holiday
5,20,Show Me Going,2018-05-06 00:00:00,8.4,2261,The Nine-Nine fears for Rosa's safety when she responds to an active shooter alert.,Masterpiece,Non-Holiday
5,21,White Whale,2018-05-13 00:00:00,8.0,1945,Rosa and Amy track down a killer who's managed to elude them for seven years; Terry helps Jake with his wedding chores; Holt and his rival try to convince each other to resign from the campaign for Commissioner.,Great,Non-Holiday
5,22,Jake & Amy,2018-05-20 00:00:00,9.2,3213,The squad rushes to save Jake and Amy's wedding day from a major threat.,Masterpiece,Non-Holiday
